adult;original_title;overview;popularity;release_date;vote_average;vote_count
False;Killers of the Flower Moon;Miembros de la tribu Osage de los Estados Unidos, son asesinados bajo misteriosas circunstancias en la década de 1920 provocando una importante investigación por el FBI involucrando a J. Edgar Hoover.;1334.175;2023-10-18;7.633;1420
False;Freelance;Mason Petit (John Cena) es un soldado retirado de las fuerzas especiales que, tras años de paz, tranquilidad y monotonía, decide abandonar su aburrido retiro en los suburbios para volver al trabajo y proteger a la periodista (Alison Brie) mientras entrevista a un cruel dictador (Juan Pablo Raba). En mitad de la entrevista, estallará un golpe militar que hará peligrar sus vidas y les llevará a esconderse en la selva donde deberán emplearse a fondo para sobrevivir.;1125.462;2023-01-05;6.512;304
False;Leave the World Behind;Las vacaciones de una familia en una casa de lujo dan un giro inquietante cuando un ciberataque anula sus dispositivos... y dos desconocidos llaman a la puerta.;902.926;2023-11-22;6.64;751
False;Wonka;"Basada en el personaje que protagoniza ""Charlie y la fábrica de chocolate"", el libro infantil más emblemático de Roald Dahl y uno de los más vendidos de todos los tiempos, ""Wonka"" cuenta la historia de cómo el mayor inventor, mago y chocolatero del mundo se convirtió en el querido Willy Wonka que conocemos hoy en día.";1000.057;2023-12-06;7.298;243
False;Trolls Band Together;Cuando Floyd, uno de los hermanos de Branch, es secuestrado por una pareja de maléficas estrellas del pop para aprovecharse de su talento musical, Branch y Poppy tendrán que embarcarse en un viaje tan aterrador como emotivo para reunir a la familia y rescatar a Floyd de un destino aún peor que el desolador olvido de los fans.;988.388;2023-10-12;7.166;365
False;Leo;Leo (Sandler) es un lagarto de 74 años que lleva atrapado en el mismo aula de Florida durante décadas con su compañera de terrario, una tortuga (Bill Burr). Cuando se entera de que solo le queda un año de vida, Leo planea escapar para experimentar la vida en el exterior, pero entonces comienzan sus problemas.;870.377;2023-11-17;7.614;573
False;Five Nights at Freddy's;Un guardia de seguridad con problemas comienza a trabajar en Freddy Fazbear's Pizza. Mientras pasa su primera noche en el trabajo, se da cuenta de que el turno de noche en Freddy's no será tan fácil de superar.;649.283;2023-10-25;7.8;2851
False;Fast Charlie;Charlie Swift (Pierce Brosnan), ha trabajado para el veterano jefe de la mafia Stan (James Caan) durante veinte años, operando hábilmente como un implacable profesional y eficiente asesino a sueldo. Cuando un jefe rival elimina a Stan y a todo su equipo, siendo Charlie el único superviviente, este decide vengar a su amigo sin detenerse ante nada.;604.831;2023-12-08;6.0;27
False;Merry Little Batman;Damian Wayne quiere ser un superhéroe como su padre, Bruce Wayne, más conocido como Batman. Cuando la Liga de la Justicia reclama a Batman para salvar al mundo, Damian, quien se ha quedado sólo en Gotham, descubre el plan malvado del Joker, Bane, Hiedra Venenosa y más villanos para robar la Navidad.;584.605;2023-12-08;6.551;59
False;Diary of a Wimpy Kid Christmas: Cabin Fever;Para Greg las vacaciones de invierno están siendo un poco duras, tras quedarse atrapado con su familia en la nieve y preocupado por conseguir una nueva consola.;478.475;2023-12-08;6.75;22
